id,name,price,rating,url,img_url
58,DarkFlash DLH21 Mini-ITX Panel Computer Case,4100,5,https://btechcustoms.com/product/darkflash-dlh21-mini-itx-panel-computer-case/,https://btechcustoms.com/wp-content/uploads/2024/09/DARK-FLASH-DLH21-PINK-MINI-ITX.png
59,DarkFlash DLM21 Mesh Mid Tower Pink PC Case,2500,5,https://btechcustoms.com/product/darkflash-dlm21-mesh-mid-tower-pink-pc-case/,https://btechcustoms.com/wp-content/uploads/2024/09/DARKFLASH-DLM21-PINK-MATX.png
60,Deepcool AG400 ARGB Digital Plus CPU Air Cooler Black,2700,5,https://btechcustoms.com/product/deepcool-ag400-argb-digital-plus-cpu-air-cooler-black/,https://btechcustoms.com/wp-content/uploads/2024/09/DEEPCOOL-AG400-Digital-Plus.png
61,DeepCool AG400 Digital Plus,2700,5,https://btechcustoms.com/product/deepcool-ag400-digital-plus/,https://btechcustoms.com/wp-content/uploads/2024/07/7-2.png
62,DeepCool ag400 digital wh argb,2680,5,https://btechcustoms.com/product/deepcool-ag400-digital-wh-argb/,https://btechcustoms.com/wp-content/uploads/2024/09/DEEPCOOL-AG400-Digital-WH-ARGB-1.png
63,DeepCool AG400 WH ARGB,2680,5,https://btechcustoms.com/product/deepcool-ag400-wh-argb/,https://btechcustoms.com/wp-content/uploads/2024/07/DEEP-COOL-AG400-WH-ARGB.png
64,Deepcool AG620 Digital BK ARGB Dual-Tower CPU Cooler,3700,5,https://btechcustoms.com/product/deepcool-ag620-digital-bk-argb-dual-tower-cpu-cooler/,https://btechcustoms.com/wp-content/uploads/2024/07/5.png
65,Deepcool AG620 Digital WH ARGB Dual Tower CPU Cooler,3700,5,https://btechcustoms.com/product/deepcool-ag620-digital-wh-argb-dual-tower-cpu-cooler/,https://btechcustoms.com/wp-content/uploads/2024/07/1-3.png
66,Deepcool AK400 Digital Performance CPU Cooler,2500,5,https://btechcustoms.com/product/deepcool-ak400-digital-performance-cpu-cooler/,https://btechcustoms.com/wp-content/uploads/2024/07/DEEP-COOL-AK400-DIGITAL.png
67,DeepCool AK400 Zero Dark Performance CPU Cooler,2000,5,https://btechcustoms.com/product/deepcool-ak400-zero-dark-performance-cpu-cooler/,https://btechcustoms.com/wp-content/uploads/2024/07/DEEP-COOL-AK400-ZERO-DARK.png
68,Deepcool AK500S Digital CPU Cooler,2600,5,https://btechcustoms.com/product/deepcool-ak500s-digital-cpu-cooler/,https://btechcustoms.com/wp-content/uploads/2024/07/DEEP-COOL-AK500S-DIGITAL.png
69,Deepcool AK620 Digital Performance CPU Cooler With Status Display (R-AK620-BKADMN-G),4400,5,https://btechcustoms.com/product/deepcool-ak620-digital-performance-cpu-cooler-with-status-display-r-ak620-bkadmn-g/,https://btechcustoms.com/wp-content/uploads/2024/09/DEEPCOOL-AK620-Digital-.png
70,Deepcool AK620 Digital WH Performance CPU Cooler With a Status Display (White) (R-AK620-WHADMN-G),4400,5,https://btechcustoms.com/product/deepcool-ak620-digital-wh-performance-cpu-cooler-with-a-status-display-white-r-ak620-whadmn-g/,https://btechcustoms.com/wp-content/uploads/2024/09/DEEPCOOL-AK620-Digital-WH.png
